,Year,Annual Mean
0,1958.0,315.7
1,1958.0,317.45
2,1958.0,317.51
3,1958.0,317.24
4,1958.0,315.86
5,1958.0,314.93
6,1958.0,313.2
7,1958.0,312.43
8,1958.0,313.33
9,1958.0,314.67
10,1959.0,315.58
11,1959.0,316.48
12,1959.0,316.65
13,1959.0,317.72
14,1959.0,318.29
15,1959.0,318.15
16,1959.0,316.54
17,1959.0,314.8
18,1959.0,313.84
19,1959.0,313.33
20,1959.0,314.81
21,1959.0,315.58
22,1960.0,316.43
23,1960.0,316.98
24,1960.0,317.58
25,1960.0,319.03
26,1960.0,320.04
27,1960.0,319.59
28,1960.0,318.18
29,1960.0,315.9
30,1960.0,314.17
31,1960.0,313.83
32,1960.0,315.0
33,1960.0,316.19
34,1961.0,316.89
35,1961.0,317.7
36,1961.0,318.54
37,1961.0,319.48
38,1961.0,320.58
39,1961.0,319.77
40,1961.0,318.57
41,1961.0,316.79
42,1961.0,314.99
43,1961.0,315.31
44,1961.0,316.1
45,1961.0,317.01
46,1962.0,317.94
47,1962.0,318.55
48,1962.0,319.68
49,1962.0,320.57
50,1962.0,321.02
51,1962.0,320.62
52,1962.0,319.61
53,1962.0,317.4
54,1962.0,316.25
55,1962.0,315.42
56,1962.0,316.69
57,1962.0,317.7
58,1963.0,318.74
59,1963.0,319.07
60,1963.0,319.86
61,1963.0,321.38
62,1963.0,322.25
63,1963.0,321.48
64,1963.0,319.74
65,1963.0,317.77
66,1963.0,316.21
67,1963.0,315.99
68,1963.0,317.07
69,1963.0,318.35
70,1964.0,319.57
71,1964.0,320.01
72,1964.0,320.74
73,1964.0,321.84
74,1964.0,322.26
75,1964.0,321.89
76,1964.0,320.44
77,1964.0,318.69
78,1964.0,316.7
79,1964.0,316.87
80,1964.0,317.68
81,1964.0,318.71
82,1965.0,319.44
83,1965.0,320.44
84,1965.0,320.89
85,1965.0,322.14
86,1965.0,322.17
87,1965.0,321.87
88,1965.0,321.21
89,1965.0,318.87
90,1965.0,317.81
91,1965.0,317.3
92,1965.0,318.87
93,1965.0,319.42
94,1966.0,320.62
95,1966.0,321.6
96,1966.0,322.39
97,1966.0,323.7
98,1966.0,324.08
99,1966.0,323.75
100,1966.0,322.38
101,1966.0,320.36
102,1966.0,318.64
103,1966.0,318.1
104,1966.0,319.78
105,1966.0,321.03
106,1967.0,322.33
107,1967.0,322.5
108,1967.0,323.04
109,1967.0,324.42
110,1967.0,325.0
111,1967.0,324.09
112,1967.0,322.54
113,1967.0,320.92
114,1967.0,319.25
115,1967.0,319.39
116,1967.0,320.73
117,1967.0,321.96
118,1968.0,322.57
119,1968.0,323.15
120,1968.0,323.89
121,1968.0,325.02
122,1968.0,325.57
123,1968.0,325.36
